t    y    u
0.000000  0.000000  0.000000
0.040000  0.000000  0.000000
0.080000  0.000000  0.000000
0.120000  0.000000  0.000000
0.160000  0.000000  0.000000
0.200000  0.000000  0.000000
0.240000  0.000000  0.000000
0.280000  0.000000  0.000000
0.320000  0.000000  0.000000
0.360000  0.000000  0.000000
0.400000  0.000000  0.000000
0.440000  0.000000  0.000000
0.480000  0.000000  0.000000
0.520000  0.000000  0.000000
0.560000  0.000000  0.000000
0.600000  0.000000  0.000000
0.640000  0.000000  0.000000
0.680000  0.000000  0.000000
0.720000  0.000000  0.000000
0.760000  0.000000  0.000000
0.800000  0.000000  0.000000
0.840000  0.000000  0.000000
0.880000  0.000000  0.000000
0.920000  0.000000  0.000000
0.960000  0.000000  0.000000
1.000000  0.000000  0.000000
1.040000  0.000000  0.040000
1.080000  0.000093  0.080000
1.120000  0.000453  0.120000
1.160000  0.001241  0.160000
1.200000  0.002604  0.200000
1.240000  0.004674  0.240000
1.280000  0.007570  0.280000
1.320000  0.011398  0.320000
1.360000  0.016253  0.360000
1.400000  0.022215  0.400000
1.440000  0.029357  0.440000
1.480000  0.037736  0.480000
1.520000  0.047404  0.520000
1.560000  0.058401  0.560000
1.600000  0.070756  0.600000
1.640000  0.084492  0.640000
1.680000  0.099624  0.680000
1.720000  0.116158  0.720000
1.760000  0.134094  0.760000
1.800000  0.153426  0.800000
1.840000  0.174141  0.840000
1.880000  0.196221  0.880000
1.920000  0.219644  0.920000
1.960000  0.244383  0.960000
2.000000  0.270406  1.000000
2.040000  0.297680  1.000000
2.080000  0.326074  1.000000
2.120000  0.355372  1.000000
2.160000  0.385373  1.000000
2.200000  0.415884  1.000000
2.240000  0.446728  1.000000
2.280000  0.477739  1.000000
2.320000  0.508761  1.000000
2.360000  0.539653  1.000000
2.400000  0.570283  1.000000
2.440000  0.600532  1.000000
2.480000  0.630290  1.000000
2.520000  0.659460  1.000000
2.560000  0.687953  1.000000
2.600000  0.715690  1.000000
2.640000  0.742603  1.000000
2.680000  0.768633  1.000000
2.720000  0.793727  1.000000
2.760000  0.817843  1.000000
2.800000  0.840945  1.000000
2.840000  0.863006  1.000000
2.880000  0.884005  1.000000
2.920000  0.903926  1.000000
2.960000  0.922762  1.000000
3.000000  0.940510  1.000000
3.040000  0.957171  1.000000
3.080000  0.972753  1.000000
3.120000  0.987266  1.000000
3.160000  1.000728  1.000000
3.200000  1.013156  1.000000
3.240000  1.024573  1.000000
3.280000  1.035005  1.000000
3.320000  1.044478  1.000000
3.360000  1.053023  1.000000
3.400000  1.060673  1.000000
3.440000  1.067460  1.000000
